county,local_races_total,rendered,unmatched,unmatched_races,source_url
Alameda,15,1,14,"Measure A - Peralta Community College District Parcel Tax; Measure G - Hayward USD Parcel Tax; Measure H - Piedmont Unified School District Parcel Tax; Measure C - City of Oakland Business Tax; Measure D - City of Oakland Charter Amendment; Measure E - City of Oakland Parcel Tax; Measure F - City of San Leandro Charter Amendment; Superior Court Judge, Office #13; Superior Court Judge, Office #19; Member, Board Of Education, 4th Trustee Area; Member, Board Of Education, 7th Trustee Area; Supervisor, 2nd District; District Attorney; Flood Control & Water Conservation District Director, Zone 7",https://alamedacountyca.gov/rovresults/258/
Contra Costa,21,21,0,,https://results.enr.clarityelections.com/CA/Contra_Costa/126374/web.345435/#/summary
Marin,13,13,0,,https://results.enr.clarityelections.com/CA/Marin/126360/web.345435/#/summary
Mendocino,4,4,0,,https://www.mendocinocounty.gov/government/assessor-county-clerk-recorder-elections/current-election-results
Monterey,7,7,0,,https://www.countyofmonterey.gov/government/departments-a-h/elections/election-results
Napa,0,0,0,,https://www.napacounty.gov/DocumentCenter/Index/1083#docaccess-803037f2a677c69907e587a71c05d3c57e30bcd652f4fe34672c08e9db3095e1
San Francisco,8,8,0,,https://www.sfelections.org/results/20260602w/index.html
San Joaquin,6,6,0,,https://www.livevoterturnout.com/ENR/sanjoaquincaenr/21/en/Index_21.html
San Mateo,7,7,0,,https://www.livevoterturnout.com/ENR/sanmateocaenr/19/en/t7vnu_Index_19.html
Santa Clara,9,9,0,,https://results.enr.clarityelections.com/CA/Santa_Clara/126487/web.345435/#/summary
Santa Cruz,5,5,0,,https://www2.santacruzcountyca.gov/ElectionSites/ElectionResults/Results
Solano,2,2,0,,https://content.solanocounty.gov/sites/default/files/2026-04/HTML_Cumulative_Results-2026_Statewide_Direct_Primary_-_TW-4-20-2026_16-38-04_PM.html
Sonoma,5,5,0,,https://results.enr.clarityelections.com/CA/Sonoma/126199/web.345435/#/summary
